date,region,crop,quantity_kg,price_kes_per_kg,rainfall_mm
2025-01-01,Nakuru,maize,100,45,12
2025-01-03,Nakuru,maize,120,47,15
2025-01-05,Eldoret,maize,90,44,10
2025-01-07,Nyeri,maize,80,50,20
2025-01-10,Nakuru,maize,150,46,18
2025-01-12,Eldoret,maize,130,43,9
2025-01-15,Nyeri,maize,70,52,25
2025-01-17,Nakuru,maize,110,48,14
2025-01-20,Eldoret,maize,95,45,11
2025-01-22,Nyeri,maize,85,51,23
2025-01-25,Nakuru,maize,160,44,16
2025-01-28,Eldoret,maize,140,42,8
2025-02-01,Nyeri,maize,75,53,26
2025-02-03,Nakuru,maize,115,47,13
2025-02-05,Eldoret,maize,100,44,10
2025-02-07,Nyeri,maize,78,52,21
2025-02-10,Nakuru,maize,145,45,17
2025-02-12,Eldoret,maize,125,43,9
2025-02-15,Nyeri,maize,72,54,24
2025-02-17,Nakuru,maize,118,46,14
2025-02-20,Nakuru,maize,122,47,15
2025-02-22,Eldoret,maize,105,44,11
2025-02-24,Nyeri,maize,74,53,22
2025-02-26,Nakuru,maize,150,45,18
2025-02-28,Eldoret,maize,132,43,9
2025-03-01,Nyeri,maize,79,54,25
2025-03-03,Nakuru,maize,117,46,14
2025-03-05,Eldoret,maize,101,45,10
2025-03-07,Nyeri,maize,76,52,21
2025-03-09,Nakuru,maize,140,44,17
2025-03-11,Eldoret,maize,128,42,8
2025-03-13,Nyeri,maize,71,55,24
2025-03-15,Nakuru,maize,119,47,13
2025-03-17,Eldoret,maize,110,44,10
2025-03-19,Nyeri,maize,82,53,23
2025-03-21,Nakuru,maize,155,45,19
2025-03-23,Eldoret,maize,136,43,9
2025-03-25,Nyeri,maize,77,54,26
2025-03-27,Nakuru,maize,125,46,15
2025-03-29,Eldoret,maize,108,44,12
2025-03-31,Nyeri,maize,73,55,22
2025-04-02,Nakuru,maize,142,45,18
2025-04-04,Eldoret,maize,130,42,9
2025-04-06,Nyeri,maize,75,53,24
2025-04-08,Nakuru,maize,118,47,14
2025-04-10,Eldoret,maize,99,45,11
2025-04-12,Nyeri,maize,81,52,20
2025-04-14,Nakuru,maize,148,44,17
2025-04-16,Eldoret,maize,134,43,8
2025-04-18,Nyeri,maize,70,54,25
2025-04-20,Nakuru,maize,123,46,15
2025-04-22,Eldoret,maize,106,44,10
2025-04-24,Nyeri,maize,78,53,23
2025-04-26,Nakuru,maize,152,45,18
2025-04-28,Eldoret,maize,129,42,9
2025-04-30,Nyeri,maize,74,55,24
2025-05-02,Nakuru,maize,120,47,13
2025-05-04,Eldoret,maize,104,44,11
2025-05-06,Nyeri,maize,83,52,21
2025-05-08,Nakuru,maize,145,45,17
2025-05-10,Eldoret,maize,138,43,8
2025-05-12,Nyeri,maize,72,54,26
2025-05-14,Nakuru,maize,126,46,14
2025-05-16,Eldoret,maize,111,45,10
2025-05-18,Nyeri,maize,80,53,22
2025-05-20,Nakuru,maize,150,44,19
2025-05-22,Eldoret,maize,133,42,9
2025-05-24,Nyeri,maize,76,55,25
2025-05-26,Nakuru,maize,124,47,15
2025-05-28,Eldoret,maize,107,44,12
2025-05-30,Nyeri,maize,79,53,23
2025-06-01,Nakuru,maize,149,45,18
2025-06-03,Eldoret,maize,131,43,8
2025-06-05,Nyeri,maize,71,54,24
2025-06-07,Nakuru,maize,121,46,14
2025-06-09,Eldoret,maize,103,45,10
2025-06-11,Nyeri,maize,82,52,20
2025-06-13,Nakuru,maize,146,44,17
2025-06-15,Eldoret,maize,135,42,9
2025-06-17,Nyeri,maize,73,55,25
2025-06-19,Nakuru,maize,127,47,15
2025-06-21,Eldoret,maize,109,44,11
2025-06-23,Nyeri,maize,77,53,22
2025-06-25,Nakuru,maize,151,45,18
2025-06-27,Eldoret,maize,132,43,8
2025-06-29,Nyeri,maize,75,54,24
2025-07-01,Nakuru,maize,122,46,14
2025-07-03,Eldoret,maize,105,45,10
2025-07-05,Nyeri,maize,81,52,21
2025-07-07,Nakuru,maize,144,44,17
